pred,gt
93.1595,63.0
88.91672,55.0
85.33061,51.0
58.748055,68.0
66.95642,58.0
59.341644,59.0
88.68419,59.0
80.21912,68.0
36.454086,65.0
60.139347,50.0
65.7841,55.0
66.2697,59.0
45.567566,53.0
99.27852,64.0
69.37567,63.0
76.74713,69.0
117.60488,59.0
67.14646,60.0
55.18287,61.0
83.90305,65.0
76.84833,60.0
65.266205,55.0
100.85094,115.0
150.32065,159.0
87.55,144.0
106.80886,119.0
119.32883,150.0
80.33098,105.0
162.28174,140.0
114.65234,96.0
103.80415,105.0
108.7948,88.0
80.71556,101.0
76.044846,86.0
106.37029,147.0
70.741806,82.0
95.58289,121.0
110.943695,86.0
162.01859,179.0
110.70574,124.0
121.57283,118.0
94.587036,95.0
102.52538,114.0
104.86226,150.0
136.9032,175.0
147.66722,165.0
96.16583,91.0
143.74696,165.0
83.0865,86.0
135.3258,148.0
94.83126,84.0
102.545456,102.0
102.37036,101.0
89.76369,84.0
128.5032,102.0
80.801094,76.0
88.72612,121.0
102.62335,117.0
105.56777,117.0
85.5504,87.0
121.27034,123.0
133.03494,129.0
112.03553,111.0
80.652176,116.0
116.956985,123.0
89.46568,128.0
105.833954,103.0
79.026085,119.0
113.60613,113.0
119.76575,89.0
72.34128,116.0
116.33736,129.0
77.64766,94.0
121.64414,107.0
82.82993,80.0
118.77557,171.0
121.38337,164.0
94.95006,117.0
102.273865,93.0
97.27617,77.0
92.049576,107.0
104.239845,89.0
113.03229,102.0
106.0357,101.0
97.587555,89.0
140.36624,119.0
83.686584,109.0
110.4081,102.0
95.71293,111.0
88.09047,89.0
103.25427,91.0
124.55939,112.0
89.20709,93.0
86.817406,79.0
82.441635,105.0
95.574875,121.0
73.98619,85.0
90.60298,108.0
123.71019,93.0
87.04508,130.0
107.38061,86.0
116.71554,130.0
119.4962,137.0
81.05734,87.0
114.86992,125.0
91.56221,96.0
144.0271,167.0
90.62213,128.0
101.907845,123.0
158.61006,158.0
114.13405,100.0
125.53023,102.0
150.63647,162.0
110.880356,114.0
124.45729,143.0
103.09265,112.0
85.49127,95.0
104.5303,125.0
96.78542,73.0
92.85211,107.0
96.02264,116.0
104.27562,74.0
84.30434,130.0
88.570816,92.0
126.67085,145.0
102.79042,110.0
117.5843,109.0
110.04325,123.0
65.633675,103.0
101.84021,105.0
91.588646,94.0
59.031425,149.0
92.861084,100.0
104.024086,123.0
115.65656,99.0
118.07163,125.0
105.35132,103.0
83.75822,70.0
141.53923,110.0
70.66653,99.0
92.63539,99.0
128.44244,144.0
66.20011,126.0
145.24461,160.0
77.67236,84.0
116.48035,116.0
80.73197,133.0
97.838806,104.0
83.595314,130.0
93.0406,98.0
86.649216,161.0
100.965576,119.0
143.05507,173.0
94.890076,99.0
99.370926,109.0
116.52929,121.0
160.38626,152.0
114.54399,108.0
132.95726,176.0
94.023346,112.0
108.67985,105.0
146.12503,109.0
123.41198,137.0
95.75206,98.0
81.66619,97.0
83.074005,90.0
81.675766,84.0
86.02486,77.0
85.25264,96.0
121.1863,136.0
119.70523,113.0
68.76056,95.0
126.87024,118.0
94.53925,131.0
70.17146,72.0
94.5852,127.0
125.282455,125.0
70.98786,87.0
100.14776,106.0
124.93299,137.0
70.70562,99.0
115.50608,98.0
111.932236,124.0
135.39807,125.0
102.5568,87.0
143.60095,160.0
105.03267,143.0
95.51433,117.0
68.3424,74.0
100.66821,94.0
70.60469,105.0
103.237915,141.0
122.40261,155.0
117.687454,110.0
78.14427,91.0
90.52739,89.0
74.56568,109.0
99.25871,88.0
113.43255,122.0
107.29732,91.0
