pred,gt
94.47294,102.0
114.411026,83.0
128.99774,138.0
100.07141,115.0
59.175877,64.0
87.67761,95.0
119.89896,130.0
108.34363,102.0
93.472,130.0
86.40784,99.0
53.95111,59.0
85.81243,111.0
118.96602,126.0
111.713264,96.0
95.27309,108.0
124.009514,125.0
87.57774,80.0
121.088806,102.0
81.43429,65.0
103.42241,97.0
82.24811,82.0
118.03851,118.0
74.15878,68.0
139.9149,143.0
92.78598,108.0
114.16255,120.0
52.351677,62.0
99.31718,96.0
81.981995,71.0
83.52583,124.0
88.59944,84.0
126.88439,132.0
95.91647,121.0
145.46713,162.0
132.13332,150.0
125.36082,159.0
90.011185,79.0
142.55698,164.0
112.229614,122.0
114.93212,122.0
122.89372,139.0
99.98689,119.0
100.64525,95.0
95.74497,95.0
68.5721,66.0
79.07654,77.0
116.70194,138.0
122.82976,142.0
84.030365,119.0
108.67181,88.0
84.198044,72.0
101.24168,91.0
159.74826,157.0
142.05066,143.0
108.86844,88.0
75.2919,111.0
118.044876,121.0
66.39665,64.0
80.74742,76.0
103.96051,111.0
129.98634,129.0
83.23566,86.0
89.99669,108.0
79.48042,100.0
96.11304,125.0
85.46449,101.0
72.1295,74.0
108.96855,103.0
78.509125,75.0
78.283936,89.0
95.68953,106.0
134.8382,157.0
104.830505,143.0
123.35828,121.0
71.26055,81.0
75.79378,85.0
88.83046,82.0
107.55566,110.0
64.71436,67.0
100.686264,87.0
88.04782,102.0
117.70499,95.0
95.37131,117.0
144.38284,159.0
54.940163,55.0
75.122025,79.0
83.18771,97.0
73.66641,78.0
111.25611,115.0
87.73044,114.0
84.78844,88.0
94.76315,104.0
111.93891,132.0
148.33084,159.0
171.36949,180.0
121.11682,127.0
87.367226,93.0
115.87368,129.0
110.73142,124.0
85.24501,84.0
123.56619,122.0
140.1794,132.0
84.100555,82.0
116.325455,129.0
112.04447,124.0
71.1476,79.0
103.21619,127.0
102.62875,124.0
92.82703,106.0
101.28484,117.0
120.853806,132.0
83.164,82.0
173.32495,165.0
106.406,104.0
76.15314,101.0
117.51547,97.0
105.274155,106.0
102.52902,86.0
97.62416,142.0
101.46156,103.0
121.257935,114.0
152.57529,166.0
78.62088,86.0
104.46526,117.0
93.52615,93.0
94.42958,110.0
112.847916,109.0
106.977,105.0
67.0675,98.0
95.555046,112.0
63.124382,100.0
122.79763,123.0
131.11597,142.0
126.58782,152.0
77.29889,127.0
109.73826,159.0
118.63919,118.0
70.26318,64.0
118.77095,121.0
81.42101,95.0
92.21799,85.0
106.60263,88.0
143.02344,128.0
136.34006,148.0
137.43,138.0
77.3127,99.0
135.56763,175.0
108.12139,108.0
100.395065,114.0
96.61267,83.0
59.262817,56.0
94.35362,93.0
106.38088,92.0
70.85451,82.0
103.55961,125.0
86.81638,113.0
74.22409,76.0
177.4619,178.0
81.74725,84.0
89.012146,83.0
126.74728,112.0
94.88739,120.0
74.519,76.0
85.55347,80.0
142.83421,152.0
102.60951,109.0
131.88828,117.0
133.06891,160.0
79.37932,71.0
62.467766,109.0
123.43511,135.0
86.13249,82.0
94.60069,99.0
119.13491,120.0
94.32086,105.0
137.10284,140.0
80.69849,130.0
128.18823,165.0
108.34803,122.0
87.24092,85.0
81.58132,83.0
93.43668,81.0
71.43474,93.0
104.61769,103.0
123.2956,118.0
147.41791,122.0
94.12092,115.0
101.31917,132.0
99.443085,122.0
116.15352,114.0
75.1118,94.0
128.64836,113.0
105.31706,110.0
116.94843,133.0
67.938644,103.0
115.04919,120.0
97.79959,102.0
85.910164,87.0
85.405174,127.0
51.71351,53.0
70.54079,73.0
73.74205,74.0
139.82025,152.0
104.51794,162.0
140.52231,126.0
101.58052,124.0
104.01093,114.0
68.34141,84.0
88.29004,94.0
79.611206,83.0
124.60205,170.0
100.534424,84.0
67.93016,64.0
158.01398,164.0
127.56999,117.0
131.70956,114.0
91.33268,94.0
106.535965,118.0
72.84892,73.0
106.54014,98.0
85.63223,93.0
93.97101,95.0
101.835754,110.0
98.98825,116.0
79.23557,83.0
125.45743,139.0
88.341034,93.0
94.83628,134.0
121.09301,118.0
63.21205,71.0
123.40698,152.0
124.64241,121.0
70.75313,74.0
166.59033,163.0
116.04027,98.0
107.89945,124.0
63.99415,93.0
114.387794,157.0
113.3234,118.0
98.78792,117.0
117.04624,117.0
145.25995,144.0
97.89525,104.0
90.728065,101.0
94.70258,95.0
168.6839,167.0
112.72798,106.0
111.79293,123.0
122.83886,136.0
97.826706,112.0
117.74407,130.0
69.1245,84.0
86.993774,91.0
101.253555,113.0
147.45177,144.0
118.404106,127.0
174.05951,158.0
145.04651,157.0
58.1295,72.0
61.08359,113.0
91.796776,100.0
89.38463,98.0
81.75007,100.0
87.09569,87.0
65.62944,62.0
96.01093,95.0
77.30476,81.0
93.42316,104.0
91.1239,106.0
114.15115,114.0
130.33287,139.0
110.08817,117.0
105.043015,106.0
134.90353,122.0
125.738815,116.0
109.67332,108.0
